Aries,0,א,ח,α
Aries,1,ב,ז,β
Aries,2,ג,ו,γ
Aries,3,ד,ה,δ
Aries,4,ה,ד,ε
Aries,5,ו,ג,ζ
Aries,6,ז,ב,η
Aries,7,ח,א,θ
Aries,8,ט,ת,ι
Aries,9,י,ש,κ
Aries,10,כ,ר,λ
Aries,11,ל,ק,μ
Aries,12,מ,צ,ν
Aries,13,נ,פ,ξ
Aries,14,ס,ע,ο
Aries,15,ע,ס,π
Aries,16,פ,נ,ρ
Aries,17,צ,מ,σ
Aries,18,ק,ל,τ
Aries,19,ר,כ,υ
Aries,20,ש,י,φ
Aries,21,ת,ט,χ
Aries,22,א,ח,ψ
Aries,23,ב,ז,ω
Aries,24,ג,ו,α
Aries,25,ד,ה,β
Aries,26,ה,ד,γ
Aries,27,ו,ג,δ
Aries,28,ז,ב,ε
Aries,29,ח,א,ζ
Taurus,0,ט,ת,η
Taurus,1,י,ש,θ
Taurus,2,כ,ר,ι
Taurus,3,ל,ק,κ
Taurus,4,מ,צ,λ
Taurus,5,נ,פ,μ
Taurus,6,ס,ע,ν
Taurus,7,ע,ס,ξ
Taurus,8,פ,נ,ο
Taurus,9,צ,מ,π
Taurus,10,ק,ל,ρ
Taurus,11,ר,כ,σ
Taurus,12,ש,י,τ
Taurus,13,ת,ט,υ
Taurus,14,א,ח,φ
Taurus,15,ב,ז,χ
Taurus,16,ג,ו,ψ
Taurus,17,ד,ה,ω
Taurus,18,ה,ד,α
Taurus,19,ו,ג,β
Taurus,20,ז,ב,γ
Taurus,21,ח,א,δ
Taurus,22,ט,ת,ε
Taurus,23,י,ש,ζ
Taurus,24,כ,ר,η
Taurus,25,ל,ק,θ
Taurus,26,מ,צ,ι
Taurus,27,נ,פ,κ
Taurus,28,ס,ע,λ
Taurus,29,ע,ס,μ
Gemini,0,פ,נ,ν
Gemini,1,צ,מ,ξ
Gemini,2,ק,ל,ο
Gemini,3,ר,כ,π
Gemini,4,ש,י,ρ
Gemini,5,ת,ט,σ
Gemini,6,א,ח,τ
Gemini,7,ב,ז,υ
Gemini,8,ג,ו,φ
Gemini,9,ד,ה,χ
Gemini,10,ה,ד,ψ
Gemini,11,ו,ג,ω
Gemini,12,ז,ב,α
Gemini,13,ח,א,β
Gemini,14,ט,ת,γ
Gemini,15,י,ש,δ
Gemini,16,כ,ר,ε
